timestamp,co2_flux,H,LE,ws,wd,Ta,Pres
2026-06-08 17:15:00.000,5.06996246233076,21.6122433038464,15.7346123714759,5.07755309000825,274.383445310134,26.0801385169345,94.5365322941659
2026-06-08 17:45:00.000,3.55923679979553,8.63559799900908,5.1714164098301,4.20269306557583,275.761293832733,25.9016736501754,94.5405381200003
2026-06-08 18:15:00.000,7.59399025064797,7.39964258221288,5.47753990582221,3.9029109427907,275.428577089791,25.7454851694064,94.5592198311116
2026-06-08 18:45:00.000,5.99768473868514,-5.64869960870274,8.41661066771609,4.12142135142453,266.673277315847,25.4925584213753,94.5914270383327
2026-06-08 19:15:00.000,20.937353929775,171.729137305506,-193.953928886248,8.35080759422508,296.199347596927,22.1498959911436,94.6406679605552
2026-06-08 19:45:00.000,4.67921041521275,67.1781555881334,-6.30049743384234,5.1082237960257,296.109438357342,20.7126680699905,94.7075185274999
2026-06-08 20:15:00.000,NaN,49.4829456342965,-14.3541683382075,2.3994524648565,265.076356492542,19.003978069402,94.7424086488886
2026-06-08 20:45:00.000,37.415069283379,-10.9586969244224,91.7928381008624,2.26486466946832,238.318605172626,18.3212096974128,94.764234997778
2026-06-08 21:15:00.000,4.26612442466924,-1.91237888792695,25.5875321879083,3.57079584777095,235.215613886024,18.9472104310773,94.7458753280557
2026-06-08 21:45:00.000,6.3826966953484,5.82776485050884,16.1363484203527,2.52489436907718,211.910358759169,19.1739347590244,94.7250639013884
2026-06-08 22:15:00.000,-1.91732670815461,-3.13514784253421,21.7916658281859,3.05141125565525,191.918789183376,19.5880287169056,94.6966603305551
2026-06-08 22:45:00.000,1.28045830050674,-1.72365783443764,41.7706430027311,3.65108655314274,174.496409806808,19.4836814983905,94.6647938008345
2026-06-08 23:15:00.000,11.8027305000766,-11.8123827559352,35.5984217652986,4.05429180256136,173.586386798911,19.1772694434165,94.621416713888
